Rank,School Name,School Type,Early Career Pay,Mid-Career Pay,% High Meaning,% STEM Degrees
96,University of Rochester,"Private School, Research University","$76,800 ","$140,900 ",51%,30%
96,Wabash College,"Liberal Arts School, Private School","$74,200 ","$140,900 ",34%,19%
98,Denison University,"Liberal Arts School, Private School","$65,300 ","$140,800 ",46%,20%
99,Villanova University,"Private School, Religious, Research University, For Sports Fans","$81,500 ","$140,400 ",42%,24%
100,Davidson College,"Liberal Arts School, Private School, Religious, For Sports Fans","$70,500 ","$140,300 ",55%,28%
101,University of Illinois Urbana-Champaign,"Research University, For Sports Fans, State School","$77,600 ","$139,900 ",43%,40%
102,Texas A & M University-College Station,"Research University, For Sports Fans, State School","$72,600 ","$139,700 ",52%,31%
102,Amherst College,"Liberal Arts School, Private School","$76,700 ","$139,700 ",43%,42%
104,Seattle University,"Private School, Religious, For Sports Fans","$75,500 ","$139,600 ",58%,19%
104,Loyola University Maryland,"Private School, Religious, For Sports Fans","$72,900 ","$139,600 ",45%,10%
106,Middlebury College,"Liberal Arts School, Private School","$74,800 ","$139,500 ",46%,24%
107,Southern Methodist University,"Private School, Religious, Research University, For Sports Fans","$73,900 ","$139,000 ",48%,24%
107,University of San Diego,"Private School, Religious, Research University, For Sports Fans","$73,000 ","$139,000 ",48%,15%
109,Pomona College,"Liberal Arts School, Private School","$81,600 ","$138,900 ",54%,36%
110,Emory University,"Private School, Religious, Research University","$78,100 ","$138,600 ",48%,23%
111,Fordham University,"Private School, Religious, Research University, For Sports Fans","$72,900 ","$138,500 ",40%,13%
111,Hampden-Sydney College,"Liberal Arts School, Private School","$71,300 ","$138,500 ",45%,25%
113,Reed College,"Liberal Arts School, Private School","$70,300 ","$138,400 ",40%,34%
114,College of the Holy Cross,"Liberal Arts School, Private School, Religious, For Sports Fans","$73,100 ","$138,100 ",50%,20%
115,University of Michigan-Ann Arbor,"Research University, For Sports Fans, State School","$80,300 ","$137,500 ",46%,42%
116,San Jose State University,"For Sports Fans, State School","$79,100 ","$137,200 ",53%,26%
117,Rutgers University-New Brunswick,"Research University, For Sports Fans, State School","$73,500 ","$137,000 ",43%,31%
117,The University of Texas at Austin,"Research University, For Sports Fans, State School","$75,000 ","$137,000 ",50%,29%
