Rank,School Name,School Type,Early Career Pay,Mid-Career Pay,% High Meaning,% STEM Degrees
625,The University of Texas at San Antonio,"Research University, For Sports Fans, State School","$62,400 ","$105,800 ",55%,24%
627,Azusa Pacific University,"Private School, Religious, Research University","$62,200 ","$105,700 ",57%,4%
627,University of Missouri-Kansas City,"Research University, For Sports Fans, State School","$62,600 ","$105,700 ",53%,21%
629,University of Wisconsin-La Crosse,State School,"$61,400 ","$105,600 ",52%,18%
629,Texas State University,"Research University, For Sports Fans, State School","$62,100 ","$105,600 ",52%,12%
629,University of New Hampshire at Manchester,"Liberal Arts School, State School","$64,600 ","$105,600 ",38%,38%
632,West Chester University of Pennsylvania,State School,"$59,500 ","$105,500 ",51%,10%
632,Chaminade University of Honolulu,"Private School, Religious","$54,900 ","$105,500 ",61%,3%
632,University of Central Florida,"Research University, For Sports Fans, State School","$61,600 ","$105,500 ",51%,19%
632,Dean College,Private School,"$52,100 ","$105,500 ",-,1%
636,Old Dominion University,"Research University, For Sports Fans, State School","$61,800 ","$105,400 ",55%,21%
636,University of Houston-Downtown,State School,"$62,200 ","$105,400 ",50%,6%
638,University of Toledo,"Research University, For Sports Fans, State School","$63,700 ","$105,300 ",52%,21%
638,Saint John Fisher College,"Private School, Religious, Research University","$59,500 ","$105,300 ",51%,8%
640,University of Wisconsin-Whitewater,State School,"$59,700 ","$105,200 ",42%,8%
640,University of South Dakota,"Research University, For Sports Fans, State School","$57,200 ","$105,200 ",57%,8%
640,Benedictine University,"Private School, Religious, Research University","$62,000 ","$105,200 ",56%,12%
643,University of Akron Main Campus,"Research University, For Sports Fans, State School","$63,200 ","$105,100 ",46%,25%
644,SUNY Oneonta,State School,"$57,900 ","$105,000 ",42%,10%
644,Beloit College,"Liberal Arts School, Private School","$58,500 ","$105,000 ",54%,26%
644,Dallas Baptist University,"Private School, Religious, Research University","$61,300 ","$105,000 ",57%,12%
644,Holy Names University,"Private School, Religious","$64,600 ","$105,000 ",-,2%
648,University of South Carolina-Columbia,"Research University, For Sports Fans, State School","$63,200 ","$104,900 ",49%,19%
648,Eastern Nazarene College,"Private School, Religious","$58,800 ","$104,900 ",50%,12%
650,SUNY College of Environmental Science and Forestry,"Research University, State School","$62,200 ","$104,800 ",52%,49%
650,Virginia Commonwealth University,"Research University, For Sports Fans, State School","$61,200 ","$104,800 ",51%,19%
650,Minneapolis College of Art and Design,"Art, Private School","$58,000 ","$104,800 ",37%,0%
653,Samford University,"Private School, Religious, For Sports Fans","$60,000 ","$104,600 ",58%,2%
653,The Master's University and Seminary,"Private School, Religious","$61,800 ","$104,600 ",68%,6%
655,Harding University,"Private School, Religious","$60,700 ","$104,500 ",53%,12%
656,Medical University of South Carolina,State School,"$71,700 ","$104,400 ",86%,3%
656,Westminster College (Pennsylvania),"Liberal Arts School, Private School, Religious","$55,500 ","$104,400 ",46%,22%
658,University of Nebraska at Omaha,"Research University, For Sports Fans, State School","$60,700 ","$104,300 ",50%,17%
659,Carthage College,"Liberal Arts School, Private School, Religious","$59,500 ","$104,200 ",44%,17%
660,George Fox University,"Private School, Religious","$63,800 ","$104,100 ",51%,12%
660,The University of Montana,"Research University, For Sports Fans, State School","$56,000 ","$104,100 ",51%,10%
660,Sierra Nevada University,Private School,"$61,400 ","$104,100 ",41%,2%
660,Louisiana State University Health Sciences Center-New Orleans,State School,"$62,600 ","$104,100 ",88%,2%
664,South Dakota State University,"Research University, For Sports Fans, State School","$62,500 ","$104,000 ",55%,19%
664,Saint Vincent College,"Liberal Arts School, Private School, Religious","$61,100 ","$104,000 ",50%,20%
666,Bridgewater College,"Liberal Arts School, Private School, Religious","$51,900 ","$103,900 ",46%,13%
667,Pacific Northwest College of Art,"Art, Private School","$57,600 ","$103,800 ",-,0%
667,Christopher Newport University,State School,"$64,100 ","$103,800 ",57%,31%
667,Dakota State University,"Engineering, State School","$62,200 ","$103,800 ",46%,74%
670,Carroll University,"Private School, Religious","$56,700 ","$103,700 ",51%,11%
671,Bushnell University,"Private School, Religious","$58,300 ","$103,600 ",-,7%
671,Graceland University-Lamoni,"Private School, Religious","$59,600 ","$103,600 ",65%,4%
671,Dordt University,"Private School, Religious","$63,400 ","$103,600 ",57%,19%
671,Coe College,"Liberal Arts School, Private School, Religious","$57,600 ","$103,600 ",45%,22%
675,SUNY College at Potsdam,State School,"$53,400 ","$103,500 ",56%,11%
675,University of Pittsburgh-Johnstown,"Engineering, Liberal Arts School, State School","$61,200 ","$103,500 ",54%,51%
675,Amberton University,"Private School, Religious","$64,000 ","$103,500 ",53%,0%
675,Rollins College,Private School,"$60,400 ","$103,500 ",57%,9%
675,Hastings College,"Private School, Religious","$60,000 ","$103,500 ",47%,13%
675,Newman University,"Private School, Religious","$56,300 ","$103,500 ",57%,11%
681,Georgia Southern University,"Research University, For Sports Fans, State School","$60,600 ","$103,400 ",50%,18%
681,Dominican University of California,Private School,"$68,500 ","$103,400 ",57%,18%
681,Concordia University-Saint Paul,"Private School, Religious","$61,500 ","$103,400 ",64%,5%
681,Washington College,"Liberal Arts School, Private School","$60,700 ","$103,400 ",47%,24%
685,Oklahoma Christian University,"Private School, Religious","$60,600 ","$103,300 ",56%,31%
685,St. Joseph's University-New York,Private School,"$62,100 ","$103,300 ",56%,5%
685,Marian University (Wisconsin),"Private School, Religious","$54,600 ","$103,300 ",54%,4%
685,University of North Florida,"For Sports Fans, State School","$59,400 ","$103,300 ",49%,13%
685,Indiana Institute of Technology,Private School,"$62,300 ","$103,300 ",51%,26%
685,Colorado State University Pueblo,State School,"$58,500 ","$103,300 ",63%,13%
691,Gannon University,"Private School, Religious","$62,700 ","$103,200 ",59%,16%
691,Ferrum College,"Private School, Religious","$48,300 ","$103,200 ",44%,7%
691,McNeese State University,"For Sports Fans, State School","$61,200 ","$103,200 ",63%,15%
694,Walsh University,"Private School, Religious","$57,800 ","$103,100 ",57%,11%
694,York College of Pennsylvania,Private School,"$63,500 ","$103,100 ",46%,19%
694,Wayne State University,"Research University, State School","$63,200 ","$103,100 ",50%,17%
694,University of Saint Mary,"Private School, Religious","$60,300 ","$103,100 ",79%,9%
694,Curry College,Private School,"$61,600 ","$103,100 ",58%,6%
699,Elizabethtown College,"Liberal Arts School, Private School","$62,100 ","$103,000 ",47%,18%
699,DeSales University,"Private School, Religious","$60,200 ","$103,000 ",48%,7%
699,University of La Verne,"Private School, Research University","$61,100 ","$103,000 ",54%,5%
699,Bellarmine University,"Private School, Religious","$58,600 ","$103,000 ",60%,8%
699,Fitchburg State University,State School,"$56,400 ","$103,000 ",49%,8%
699,Salisbury University,State School,"$61,400 ","$103,000 ",54%,12%
705,Wright State University-Main Campus,"Research University, For Sports Fans, State School","$62,000 ","$102,900 ",48%,29%
706,University of Jamestown,"Private School, Religious","$57,700 ","$102,800 ",69%,9%
706,University of Mississippi,"Research University, For Sports Fans, State School","$59,900 ","$102,800 ",53%,13%
708,Albright College,"Liberal Arts School, Private School, Religious","$60,900 ","$102,700 ",46%,13%
708,Stockton University,State School,"$57,200 ","$102,700 ",48%,15%
708,Whitworth University,"Private School, Religious","$61,800 ","$102,700 ",55%,16%
708,College of Charleston,"For Sports Fans, State School","$60,400 ","$102,700 ",44%,17%
708,Northwood University,"Business, Private School","$58,100 ","$102,700 ",49%,2%
708,Cleary University,"Business, Private School","$57,700 ","$102,700 ",56%,0%
708,Lesley University,"Private School, Research University","$53,900 ","$102,700 ",53%,2%
715,Florida Gulf Coast University,"For Sports Fans, State School","$58,600 ","$102,600 ",57%,11%
716,Gwynedd Mercy University,"Private School, Religious","$65,200 ","$102,500 ",61%,2%
716,Olivet Nazarene University,"Private School, Religious","$61,400 ","$102,500 ",64%,9%
716,Metropolitan State University of Denver,State School,"$61,400 ","$102,500 ",55%,11%
719,University of Wisconsin-Stout,State School,"$62,900 ","$102,400 ",47%,19%
719,Robert Morris University,"Private School, Research University, For Sports Fans","$60,100 ","$102,400 ",44%,20%
719,The College of Idaho,"Liberal Arts School, Private School","$55,500 ","$102,400 ",49%,18%
722,Youngstown State University,"For Sports Fans, State School","$59,700 ","$102,300 ",52%,20%
722,Cedarville University,"Private School, Religious","$64,500 ","$102,300 ",51%,16%
722,The King's College,"Liberal Arts School, Private School, Religious","$65,200 ","$102,300 ",75%,0%
725,Marietta College,Private School,"$58,600 ","$102,200 ",54%,30%
725,Bob Jones University,"Private School, Religious","$58,700 ","$102,200 ",62%,6%
725,University of Minnesota-Crookston,State School,"$63,900 ","$102,200 ",56%,3%
725,Northern Kentucky University,"For Sports Fans, State School","$60,700 ","$102,200 ",51%,10%
725,Xavier University of Louisiana,"Private School, Religious","$54,200 ","$102,200 ",63%,33%
730,Eastern Washington University,"For Sports Fans, State School","$62,600 ","$102,100 ",51%,16%
730,Rosemont College,"Private School, Religious","$57,500 ","$102,100 ",60%,3%
730,University of Minnesota-Morris,"Liberal Arts School, State School","$56,100 ","$102,100 ",47%,35%
733,University of Mount Union,Private School,"$56,700 ","$102,000 ",51%,15%
733,Immaculata University,"Private School, Religious, Research University","$62,000 ","$102,000 ",52%,3%
733,Alaska Pacific University,"Private School, Religious","$59,700 ","$102,000 ",-,1%
736,Oral Roberts University,"Private School, Religious, For Sports Fans","$57,200 ","$101,900 ",62%,10%
736,Southern Utah University,"For Sports Fans, State School","$56,100 ","$101,900 ",64%,7%
736,La Sierra University,"Private School, Religious","$62,900 ","$101,900 ",53%,9%
736,University of Missouri-St Louis,"Research University, State School","$62,000 ","$101,900 ",51%,16%
740,King's College,"Private School, Religious","$58,300 ","$101,800 ",47%,12%
740,SUNY College at Oswego,State School,"$56,000 ","$101,800 ",45%,12%
740,Longwood University,"For Sports Fans, State School","$57,500 ","$101,800 ",53%,6%
740,Western Illinois University,"For Sports Fans, State School","$55,900 ","$101,800 ",50%,13%
740,Northwest Missouri State University,State School,"$57,500 ","$101,800 ",52%,13%
745,Concordia University Texas,"Private School, Religious","$61,500 ","$101,700 ",56%,4%
745,Sterling College,Private School,"$51,000 ","$101,700 ",53%,6%
747,Millersville University of Pennsylvania,State School,"$57,300 ","$101,600 ",47%,15%
747,Tuskegee University,Private School,"$67,700 ","$101,600 ",65%,32%
747,Bethel University (Minnesota),"Private School, Religious","$62,900 ","$101,600 ",59%,8%
747,Winona State University,State School,"$62,500 ","$101,600 ",50%,12%
751,Otterbein University,"Private School, Religious","$58,000 ","$101,500 ",50%,14%
751,Queens University of Charlotte,"Private School, Religious","$62,700 ","$101,500 ",51%,6%
751,The University of Findlay,"Private School, Religious","$59,400 ","$101,500 ",44%,4%
751,Holy Family University,"Private School, Religious","$59,900 ","$101,500 ",50%,4%
751,West Texas A & M University,State School,"$57,300 ","$101,500 ",60%,9%
756,Neumann University,"Private School, Religious","$61,700 ","$101,400 ",58%,2%
756,Kean University,State School,"$59,200 ","$101,400 ",51%,12%
756,High Point University,"Private School, Religious, For Sports Fans","$60,800 ","$101,400 ",45%,7%
759,Culver-Stockton College,"Private School, Religious","$52,700 ","$101,300 ",53%,5%
760,Kettering College,"Private School, Religious","$63,300 ","$101,200 ",-,0%
760,Eastern Illinois University,"For Sports Fans, State School","$55,500 ","$101,200 ",50%,8%
760,Monmouth College,"Liberal Arts School, Private School, Religious","$59,200 ","$101,200 ",51%,22%
760,California State University-San Bernardino,State School,"$57,700 ","$101,200 ",58%,11%
760,University of Saint Joseph,"Private School, Religious","$66,000 ","$101,200 ",74%,8%
760,Doane University,"Liberal Arts School, Private School","$53,900 ","$101,200 ",49%,8%
760,Union College (Nebraska),"Private School, Religious","$62,400 ","$101,200 ",64%,25%
767,Herzing University-Birmingham,Private School,"$59,100 ","$101,100 ",-,1%
767,University of Alabama at Birmingham,"Research University, For Sports Fans, State School","$59,400 ","$101,100 ",56%,20%
769,Cleveland State University,"Research University, For Sports Fans, State School","$59,800 ","$101,000 ",49%,19%
769,Columbia College Chicago,"Art, Private School","$56,800 ","$101,000 ",36%,1%
769,Regis College,"Private School, Religious","$66,500 ","$101,000 ",58%,2%
769,Pittsburg State University,State School,"$57,800 ","$101,000 ",52%,6%
773,Mount Saint Mary College,"Private School, Religious, For Sports Fans","$65,500 ","$100,900 ",57%,7%
773,Texas A & M University-Corpus Christi,"Research University, For Sports Fans, State School","$58,900 ","$100,900 ",59%,16%
773,Webber International University,Private School,"$56,200 ","$100,900 ",-,2%
773,Wartburg College,"Liberal Arts School, Private School, Religious","$59,900 ","$100,900 ",47%,27%
777,Cameron University,State School,"$52,500 ","$100,800 ",51%,14%
777,Indiana University of Pennsylvania-Main Campus,"Party School, Research University, State School","$57,600 ","$100,800 ",50%,7%
777,Saint Francis University,"Private School, Religious, For Sports Fans","$59,300 ","$100,800 ",57%,10%
777,The University of Tennessee-Chattanooga,"For Sports Fans, State School","$56,800 ","$100,800 ",56%,18%
777,Savannah College of Art and Design,"Art, Private School","$59,000 ","$100,800 ",36%,2%
777,Idaho State University,"Research University, For Sports Fans, State School","$60,200 ","$100,800 ",69%,10%
777,Millikin University,Private School,"$57,000 ","$100,800 ",54%,8%
777,California State University-Dominguez Hills,State School,"$58,700 ","$100,800 ",58%,8%
777,Colby-Sawyer College,Private School,"$58,400 ","$100,800 ",47%,4%
786,Edgewood College,"Private School, Religious, Research University","$59,200 ","$100,700 ",55%,10%
786,Roosevelt University,Private School,"$58,900 ","$100,700 ",47%,10%
786,Northwest Nazarene University,"Private School, Religious","$57,900 ","$100,700 ",72%,11%
786,University of Northern Colorado,"Research University, For Sports Fans, State School","$58,500 ","$100,700 ",57%,8%
786,University of Louisville,"Research University, For Sports Fans, State School","$61,100 ","$100,700 ",52%,20%
791,Mount Carmel College of Nursing,"Private School, Religious","$68,400 ","$100,600 ",77%,0%
791,Corban University,"Private School, Religious","$53,700 ","$100,600 ",63%,4%
791,Eastern Connecticut State University,State School,"$61,900 ","$100,600 ",42%,11%
791,Northwestern College,"Private School, Religious","$57,500 ","$100,600 ",46%,8%
795,East Carolina University,"Research University, For Sports Fans, State School","$60,000 ","$100,500 ",56%,12%
795,Berry College,"Private School, Sober School","$54,600 ","$100,500 ",36%,20%
795,Western Connecticut State University,State School,"$63,400 ","$100,500 ",48%,8%
795,Wichita State University,"Research University, For Sports Fans, State School","$59,800 ","$100,500 ",63%,22%
799,Delaware Valley University,Private School,"$55,800 ","$100,400 ",57%,11%
799,Northwest University,"Private School, Religious","$64,900 ","$100,400 ",62%,2%
799,University of Baltimore,State School,"$63,300 ","$100,400 ",57%,4%
802,Clarion University of Pennsylvania,State School,"$54,300 ","$100,300 ",52%,7%
802,Nevada State College,State School,"$65,400 ","$100,300 ",68%,4%
802,Florida Southern College,"Private School, Religious","$57,500 ","$100,300 ",50%,15%
805,St. Thomas Aquinas College,Private School,"$61,000 ","$100,200 ",35%,8%
805,Presbyterian College,"Liberal Arts School, Private School, Religious, For Sports Fans","$59,100 ","$100,200 ",51%,25%
805,University of St Francis,"Private School, Religious","$60,700 ","$100,200 ",74%,3%
805,National Louis University,"Private School, Research University","$56,500 ","$100,200 ",67%,1%
805,Southeastern Louisiana University,"For Sports Fans, State School","$56,400 ","$100,200 ",53%,8%
810,Vanguard University of Southern California,"Private School, Religious","$60,200 ","$100,100 ",62%,5%
811,Southern Oregon University,State School,"$57,300 ","$100,000 ",54%,6%
811,Mercy College,Private School,"$57,600 ","$100,000 ",53%,5%
811,Seattle Central College,State School,"$64,900 ","$100,000 ",-,18%
811,Pine Manor College,"Liberal Arts School, Private School","$60,600 ","$100,000 ",51%,5%
811,Ferris State University,State School,"$61,000 ","$100,000 ",51%,7%
811,Eastern Michigan University,"Research University, For Sports Fans, State School","$58,500 ","$100,000 ",49%,9%
811,Bellevue University,"Business, Private School","$60,600 ","$100,000 ",56%,19%
818,CUNY John Jay College of Criminal Justice,State School,"$57,300 ","$99,900 ",54%,5%
818,Slippery Rock University of Pennsylvania,State School,"$57,200 ","$99,900 ",56%,10%
818,Hanover College,"Liberal Arts School, Private School, Religious","$58,100 ","$99,900 ",65%,28%
818,St Catherine University,"Private School, Religious","$61,000 ","$99,900 ",63%,2%
818,Transylvania University,"Liberal Arts School, Private School, Religious","$58,200 ","$99,900 ",54%,24%
823,Appalachian State University,"For Sports Fans, State School","$58,400 ","$99,800 ",48%,8%
823,Universidad Ana G. Mendez-Gurabo Campus,"Private School, Research University","$52,400 ","$99,800 ",67%,8%
823,University of Wisconsin-Oshkosh,State School,"$59,900 ","$99,800 ",48%,7%
823,University of Mary Hardin-Baylor,"Private School, Religious","$61,600 ","$99,800 ",64%,13%
823,Boise State University,"Research University, For Sports Fans, State School","$62,300 ","$99,800 ",53%,12%
828,Indiana State University,"Research University, For Sports Fans, State School","$58,800 ","$99,700 ",56%,6%
829,Upstate Medical University,State School,"$67,400 ","$99,600 ",78%,4%
829,State University of New York at New Paltz,State School,"$59,600 ","$99,600 ",41%,15%
829,Webster University,"Business, Private School","$58,500 ","$99,600 ",49%,3%
832,Kent State University at Kent,"Research University, For Sports Fans, State School","$56,300 ","$99,500 ",45%,11%
832,Bloomfield College,"Liberal Arts School, Private School, Religious","$57,900 ","$99,500 ",59%,15%
834,Lenoir-Rhyne University,"Private School, Religious","$55,100 ","$99,400 ",49%,6%
834,Austin College,"Liberal Arts School, Private School, Religious","$65,300 ","$99,400 ",47%,15%
834,Agnes Scott College,"Liberal Arts School, Private School, Religious, Sober School","$58,300 ","$99,400 ",53%,20%
834,Nova Southeastern University,"Private School, Research University","$60,600 ","$99,400 ",59%,11%
834,Endicott College,Private School,"$62,500 ","$99,400 ",44%,3%
834,Southern University and A & M College,"For Sports Fans, State School","$61,800 ","$99,400 ",68%,13%
840,University of North Carolina Wilmington,"For Sports Fans, State School","$57,500 ","$99,300 ",51%,12%
840,Midwestern State University,State School,"$60,900 ","$99,300 ",61%,13%
840,Allen College,Private School,"$63,700 ","$99,300 ",-,0%
840,Maryland Institute College of Art,"Art, Private School","$62,100 ","$99,300 ",34%,0%
844,Northeastern Illinois University,State School,"$59,100 ","$99,200 ",45%,15%
845,Indiana University-Purdue University-Indianapolis,"Research University, For Sports Fans, State School","$62,200 ","$99,100 ",53%,16%
845,University of Northern Iowa,"For Sports Fans, State School","$57,500 ","$99,100 ",51%,9%
847,Johnson C Smith University,"Liberal Arts School, Private School","$59,200 ","$99,000 ",48%,13%
847,SUNY Cortland,State School,"$55,900 ","$99,000 ",52%,6%
847,Worcester State University,State School,"$61,700 ","$99,000 ",47%,10%
850,Niagara University,"Private School, Religious, For Sports Fans","$53,200 ","$98,900 ",52%,7%
850,Sweet Briar College,"Liberal Arts School, Private School","$53,700 ","$98,900 ",53%,18%
850,Purdue University Fort Wayne,"For Sports Fans, State School","$60,200 ","$98,900 ",51%,19%
850,Elmhurst University,"Private School, Religious","$61,100 ","$98,900 ",50%,8%
850,School of the Art Institute of Chicago,"Art, Private School","$57,500 ","$98,900 ",35%,0%
850,Charter Oak State College,"Liberal Arts School, State School","$60,500 ","$98,900 ",70%,3%
850,Baker University,"Private School, Religious","$58,900 ","$98,900 ",60%,3%
857,Barry University,"Private School, Religious, Research University","$58,900 ","$98,800 ",66%,12%
857,Nebraska Methodist College of Nursing & Allied Health,"Private School, Religious","$67,900 ","$98,800 ",68%,0%
857,New England College,Private School,"$52,700 ","$98,800 ",57%,38%
860,Randolph-Macon College,"Liberal Arts School, Private School, Religious","$56,700 ","$98,700 ",45%,27%
860,University of Puerto Rico-Rio Piedras,"Research University, State School","$54,700 ","$98,700 ",63%,14%
860,Rockford University,Private School,"$56,700 ","$98,700 ",56%,10%
860,Nicholls State University,"For Sports Fans, State School","$53,800 ","$98,700 ",50%,5%
864,Arcadia University,"Private School, Religious","$53,600 ","$98,600 ",44%,12%
864,Centre College,"Liberal Arts School, Private School, Religious","$59,300 ","$98,600 ",51%,27%
864,Lasell University,Private School,"$55,700 ","$98,600 ",40%,0%
867,Capital University,"Private School, Religious","$56,700 ","$98,500 ",58%,7%
867,University of Wisconsin-Parkside,"Liberal Arts School, State School","$58,400 ","$98,500 ",45%,14%
867,Andrews University,"Private School, Religious, Research University","$58,800 ","$98,500 ",52%,10%
867,Grand Valley State University,State School,"$59,000 ","$98,500 ",47%,17%
871,Alabama A & M University,"For Sports Fans, State School","$62,800 ","$98,400 ",65%,31%
871,CUNY York College,State School,"$58,500 ","$98,400 ",60%,12%
871,Marymount Manhattan College,"Art, Liberal Arts School, Private School","$61,300 ","$98,400 ",40%,3%
871,Spelman College,"Liberal Arts School, Private School","$65,400 ","$98,400 ",46%,24%
871,Mercer University,"Private School, Research University, For Sports Fans","$61,800 ","$98,400 ",62%,16%
871,John Brown University,Private School,"$59,800 ","$98,400 ",54%,11%
871,Barnes-Jewish College Goldfarb School of Nursing,Private School,"$67,100 ","$98,400 ",86%,0%
871,Franciscan Missionaries of Our Lady University,"Private School, Religious","$60,900 ","$98,400 ",-,0%
879,Franklin University,"Business, Private School","$57,000 ","$98,300 ",53%,6%
879,Franklin Pierce University,Private School,"$57,100 ","$98,300 ",55%,4%
879,University of Nebraska Medical Center,State School,"$67,500 ","$98,300 ",80%,7%
879,University of Maryland Eastern Shore,"Research University, For Sports Fans, State School","$57,900 ","$98,300 ",66%,20%
883,Tarleton State University,State School,"$57,100 ","$98,200 ",59%,8%
883,University of West Georgia,"Research University, State School","$57,500 ","$98,200 ",52%,7%
883,Manchester University,"Private School, Religious","$57,700 ","$98,200 ",71%,13%
883,Greenville University,"Private School, Religious","$53,600 ","$98,200 ",44%,11%
883,Keene State College,State School,"$61,000 ","$98,200 ",52%,7%
888,Elmira College,"Liberal Arts School, Private School","$57,500 ","$98,100 ",60%,6%
888,Trinity Christian College,"Private School, Religious","$60,800 ","$98,100 ",57%,7%
888,Plymouth State University,State School,"$58,200 ","$98,100 ",47%,6%
891,University of Puerto Rico-Medical Sciences,State School,"$55,200 ","$98,000 ",52%,4%
891,South Carolina State University,"For Sports Fans, State School","$53,300 ","$98,000 ",67%,15%
891,Lipscomb University,"Private School, Religious, Research University, For Sports Fans","$60,400 ","$98,000 ",55%,13%
891,Rivier University,"Private School, Religious","$62,800 ","$98,000 ",53%,10%
891,Park University,Private School,"$59,600 ","$98,000 ",57%,10%
896,Shawnee State University,State School,"$56,700 ","$97,900 ",50%,10%
896,Langston University,State School,"$55,500 ","$97,900 ",72%,6%
896,Cumberland University,Private School,"$55,900 ","$97,900 ",54%,6%
896,Anna Maria College,"Private School, Religious","$56,600 ","$97,900 ",56%,0%
896,Saint Joseph's College of Maine,"Private School, Religious","$58,200 ","$97,900 ",51%,4%
901,Daemen University,Private School,"$57,000 ","$97,800 ",60%,1%
901,Centenary University,"Private School, Religious","$57,300 ","$97,800 ",39%,4%
901,Whitworth University-Adult Degree Programs,"Private School, Religious","$64,000 ","$97,800 ",-,0%
901,Luther College,"Liberal Arts School, Private School, Religious","$59,100 ","$97,800 ",53%,22%
905,Roanoke College,"Liberal Arts School, Private School, Religious","$60,100 ","$97,700 ",52%,15%
905,McKendree University,"Private School, Religious","$57,200 ","$97,700 ",54%,7%
905,Concordia College at Moorhead,"Liberal Arts School, Private School, Religious","$57,800 ","$97,700 ",62%,21%
905,Walsh College,"Business, Private School","$62,400 ","$97,700 ",44%,9%
905,Rocky Mountain College,"Private School, Religious","$58,700 ","$97,700 ",44%,16%
910,Baldwin Wallace University,Private School,"$55,400 ","$97,600 ",39%,11%
910,Hiram College,"Liberal Arts School, Private School","$56,500 ","$97,600 ",55%,23%
910,Adams State University,State School,"$54,200 ","$97,600 ",41%,2%
913,University of North Carolina School of the Arts,"Art, State School","$58,100 ","$97,500 ",48%,0%
913,Salem State University,State School,"$59,500 ","$97,500 ",52%,8%
915,Mayville State University,State School,"$53,300 ","$97,400 ",55%,6%
915,SUNY College at Plattsburgh,State School,"$57,400 ","$97,400 ",51%,11%
915,Radford University,"For Sports Fans, State School","$60,100 ","$97,400 ",51%,9%
915,The University of Texas at Tyler,State School,"$61,900 ","$97,400 ",62%,13%
919,University of Wisconsin-Stevens Point,State School,"$55,500 ","$97,300 ",56%,10%
919,University of Memphis,"Research University, For Sports Fans, State School","$59,300 ","$97,300 ",55%,11%
921,Central Michigan University,"Research University, For Sports Fans, State School","$59,600 ","$97,200 ",46%,12%
921,Bridgewater State University,State School,"$60,400 ","$97,200 ",52%,9%
923,Campbell University,"Private School, Religious, For Sports Fans","$57,700 ","$97,100 ",53%,10%
923,University of Central Missouri,State School,"$58,500 ","$97,100 ",55%,21%
923,University of Holy Cross,"Private School, Religious","$56,700 ","$97,100 ",57%,10%
926,University of Central Oklahoma,State School,"$56,000 ","$97,000 ",59%,12%
926,Oklahoma City University,"Private School, Religious","$61,600 ","$97,000 ",64%,4%
926,New Jersey City University,State School,"$60,400 ","$97,000 ",49%,10%
926,New York School of Interior Design,"Art, Private School","$59,400 ","$97,000 ",-,0%
926,Utica University,Private School,"$58,800 ","$97,000 ",64%,3%
926,University of Indianapolis,"Private School, Religious","$59,500 ","$97,000 ",58%,5%
932,Florida Agricultural and Mechanical University,"Research University, For Sports Fans, State School","$58,900 ","$96,900 ",64%,12%
932,University of Nebraska at Kearney,State School,"$55,500 ","$96,900 ",55%,11%
934,Dickinson State University,State School,"$59,200 ","$96,800 ",59%,8%
934,Augusta University,"Research University, State School","$55,500 ","$96,800 ",71%,12%
934,Metropolitan State University,State School,"$63,100 ","$96,800 ",54%,15%
937,The Evergreen State College,State School,"$58,400 ","$96,700 ",47%,0%
937,The University of West Florida,"Research University, State School","$56,500 ","$96,700 ",56%,12%
937,Goldey-Beacom College,"Business, Private School","$61,000 ","$96,700 ",40%,0%
940,Valdosta State University,"Research University, State School","$54,500 ","$96,600 ",54%,7%
940,Ball State University,"Research University, For Sports Fans, State School","$55,900 ","$96,600 ",49%,6%
940,Earlham College,"Liberal Arts School, Private School, Religious","$62,600 ","$96,600 ",53%,26%
943,Trevecca Nazarene University,"Private School, Religious, Research University","$56,300 ","$96,500 ",64%,4%
943,Ottawa University-Ottawa,"Private School, Religious","$60,100 ","$96,500 ",58%,15%
943,Bowie State University,State School,"$59,200 ","$96,500 ",65%,13%
946,Methodist University,"Private School, Religious","$57,100 ","$96,400 ",59%,10%
946,Rhode Island College,State School,"$59,200 ","$96,400 ",53%,6%
946,University of Central Arkansas,"For Sports Fans, State School","$55,000 ","$96,400 ",53%,9%
946,Saint Ambrose University,"Private School, Religious","$57,600 ","$96,400 ",49%,12%
946,Notre Dame of Maryland University,"Private School, Religious","$58,200 ","$96,400 ",64%,4%
951,Muskingum University,"Private School, Religious","$54,100 ","$96,300 ",43%,12%
952,D'Youville College,Private School,"$60,300 ","$96,200 ",66%,4%
952,Baptist Health Sciences University,"Private School, Religious","$66,900 ","$96,200 ",73%,3%
954,East Stroudsburg University of Pennsylvania,State School,"$57,400 ","$96,100 ",52%,12%
954,Concord University,State School,"$55,600 ","$96,100 ",51%,11%
954,University of the District of Columbia,State School,"$62,400 ","$96,100 ",57%,16%
957,Cleveland Institute of Art,"Art, Private School","$54,200 ","$96,000 ",48%,0%
957,University of Wisconsin-Superior,State School,"$53,500 ","$96,000 ",49%,7%
957,Freed-Hardeman University,"Private School, Religious","$54,200 ","$96,000 ",56%,7%
957,Belmont University,"Private School, Religious, For Sports Fans","$58,400 ","$96,000 ",46%,4%
961,Saint Leo University,"Private School, Religious","$55,300 ","$95,900 ",63%,7%
961,Minnesota State University Moorhead,State School,"$55,600 ","$95,900 ",53%,8%
963,University of Arkansas at Monticello,State School,"$54,400 ","$95,800 ",64%,2%
963,Western Kentucky University,"For Sports Fans, State School","$55,600 ","$95,800 ",47%,9%
963,Murray State University,"For Sports Fans, State School","$55,600 ","$95,800 ",55%,9%
966,The College of Saint Rose,Private School,"$54,100 ","$95,700 ",41%,3%
966,Wheeling University,"Private School, Religious","$55,300 ","$95,700 ",45%,1%
